            310   0  Directory         Memory_Data     IM>M      [0x58c0, line 0x58c0] 
            311   0        Seq               Begin       >       [0x33ec, line 0x33c0] ST PC 278 0x116
            312   0    L1Cache      L1_Replacement     IM>IM     [0x58c0, line 0x58c0] 
            315   0  Directory         Memory_Data     IM>M      [0x29c0, line 0x29c0] 
            317   0    L2Cache            Mem_Data     IM>MT_MB  [0x58c0, line 0x58c0] 
            322   0    L2Cache            Mem_Data     IM>MT_MB  [0x29c0, line 0x29c0] 
            324 core  0        Seq                Done       >       [0x58ec, line 0x58c0] 263 cycles
            324   0    L1Cache       Data_all_Acks     IM>M      [0x58c0, line 0x58c0] 
            324   0    L1Cache      L1_Replacement     IM>IM     [0x29c0, line 0x29c0] 
            324   0    L1Cache      L1_Replacement     IM>IM     [0x29c0, line 0x29c0] 
            324   0    L1Cache      L1_Replacement     IM>IM     [0x29c0, line 0x29c0] 
            325   0    L1Cache      L1_Replacement     IM>IM     [0x29c0, line 0x29c0] 
            325   0    L1Cache      L1_Replacement     IM>IM     [0x29c0, line 0x29c0] 
            329 core  0        Seq                Done       >       [0x29ec, line 0x29c0] 198 cycles
            329   0    L1Cache       Data_all_Acks     IM>M      [0x29c0, line 0x29c0] 
            329   0    L1Cache      L1_Replacement      M>M_I    [0x58c0, line 0x58c0] 
            329   0    L1Cache               Store     NP>IM     [0x19c0, line 0x19c0] 
            329   0    L1Cache      L1_Replacement      M>M_I    [0x29c0, line 0x29c0] 
            330   0    L1Cache               Store     NP>IM     [0x62c0, line 0x62c0] 
            330   0    L1Cache      L1_Replacement     IM>IM     [0x19c0, line 0x19c0] 
            330   0    L1Cache      L1_Replacement     IM>IM     [0x19c0, line 0x19c0] 
            330   0    L1Cache      L1_Replacement     IM>IM     [0x19c0, line 0x19c0] 
            331   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x58c0, line 0x58c0] 
            331   0    L2CacheL2_Replacement_clean     MT>MCT_I  [0x58c0, line 0x58c0] 
            331   0    L2Cache             L1_GETX     NP>IM     [0x46c0, line 0x46c0] 
            331   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x29c0, line 0x29c0] 
            331   0        Seq               Begin       >       [0x31e8, line 0x31c0] ST PC 177 0xb1
            332   0    L1Cache      L1_Replacement     IM>IM     [0x19c0, line 0x19c0] 
            332   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x29c0, line 0x29c0] 
            332   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x29c0, line 0x29c0] 
            332   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x29c0, line 0x29c0] 
            332   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x29c0, line 0x29c0] 
            333   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x29c0, line 0x29c0] 
            336   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x29c0, line 0x29c0] 
            336   0    L2CacheL2_Replacement_clean     MT>MCT_I  [0x29c0, line 0x29c0] 
            336   0    L2Cache             L1_GETX     NP>IM     [0x2dc0, line 0x2dc0] 
            336   0    L2CacheL2_Replacement_clean     IM>IM     [0x46c0, line 0x46c0] 
            337   0    L2CacheL2_Replacement_clean     IM>IM     [0x46c0, line 0x46c0] 
            337   0    L2CacheL2_Replacement_clean     IM>IM     [0x46c0, line 0x46c0] 
            337   0    L2CacheL2_Replacement_clean     IM>IM     [0x46c0, line 0x46c0] 
            337   0    L2CacheL2_Replacement_clean     IM>IM     [0x46c0, line 0x46c0] 
            338   0    L2CacheL2_Replacement_clean     IM>IM     [0x46c0, line 0x46c0] 
            338   0    L1Cache                 Inv    M_I>SINK_WB_ACK [0x58c0, line 0x58c0] 
            339   0  Directory               Fetch      I>IM     [0x46c0, line 0x46c0] 
            341   0    L2CacheL2_Replacement_clean     IM>IM     [0x46c0, line 0x46c0] 
            341   2        Seq               Begin       >       [0x15ec, line 0x15c0] ST PC 248 0xf8
            342   2    L1Cache      L1_Replacement     IM>IM     [0xac0, line 0xac0] 
            342   0    L2CacheL2_Replacement_clean     IM>IM     [0x46c0, line 0x46c0] 
            343   0    L1Cache                 Inv    M_I>SINK_WB_ACK [0x29c0, line 0x29c0] 
            344   0  Directory               Fetch      I>IM     [0x2dc0, line 0x2dc0] 
            346   0    L2Cache             WB_Data  MCT_I>M_I    [0x58c0, line 0x58c0] 
            351   0  Directory         Memory_Data     IM>M      [0x46c0, line 0x46c0] 
            351   0    L2Cache             WB_Data  MCT_I>M_I    [0x29c0, line 0x29c0] 
            351   1        Seq               Begin       >       [0x42a, line 0x400] ST PC 116 0x74
            352   1    L1Cache               Store      I>IM     [0x400, line 0x400] 
            354   0  Directory                Data      M>MI     [0x58c0, line 0x58c0] 
            355   0    L2CacheL2_Replacement_clean     IM>IM     [0x46c0, line 0x46c0] 
            358   0    L2Cache            Mem_Data     IM>MT_MB  [0x46c0, line 0x46c0] 
            359   0  Directory                Data      M>MI     [0x29c0, line 0x29c0] 
            361   2        Seq               Begin       >       [0x57ec, line 0x57c0] ST PC 314 0x13a
            362   2    L1Cache      L1_Replacement     IM>IM     [0xac0, line 0xac0] 
            362   0    L2Cache             L1_GETX     MT>MT_MB  [0x400, line 0x400] 
            365 core  3        Seq                Done       >       [0x46ed, line 0x46c0] 194 cycles
            365   3    L1Cache       Data_all_Acks     IM>M      [0x46c0, line 0x46c0] 
            365   3    L1Cache      L1_Replacement      I>I      [0x36c0, line 0x36c0] 
            365   3    L1Cache               Store     NP>IM     [0x40c0, line 0x40c0] 
            365   3    L1Cache      L1_Replacement      M>M_I    [0x46c0, line 0x46c0] 
            366   0  Directory          Memory_Ack     MI>I      [0x58c0, line 0x58c0] 
            366   3    L1Cache               Store     NP>IM     [0x2dc0, line 0x2dc0] 
            366   3    L1Cache      L1_Replacement     IM>IM     [0x40c0, line 0x40c0] 
            369   0    L1Cache            Fwd_GETX      M>I      [0x400, line 0x400] 
            371   0  Directory          Memory_Ack     MI>I      [0x29c0, line 0x29c0] 
            372   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x46c0, line 0x46c0] 
            372   0    L2CacheL2_Replacement_clean     MT>MCT_I  [0x46c0, line 0x46c0] 
            372   0    L2Cache         L1_PUTX_old     NP>NP     [0x1bc0, line 0x1bc0] 
            372   0    L2Cache             L1_GETX     NP>IM     [0x7c0, line 0x7c0] 
            373   0    L2Cache             Mem_Ack    M_I>NP     [0x58c0, line 0x58c0] 
            373   0    L2CacheL2_Replacement_clean     IM>IM     [0x2dc0, line 0x2dc0] 
            373   0    L2CacheL2_Replacement_clean     IM>IM     [0x2dc0, line 0x2dc0] 
            373   0    L2CacheL2_Replacement_clean     IM>IM     [0x2dc0, line 0x2dc0] 
            374   0    L2CacheL2_Replacement_clean     IM>IM     [0x2dc0, line 0x2dc0] 
            374   0    L2CacheL2_Replacement_clean     IM>IM     [0x2dc0, line 0x2dc0] 
            374   0    L2CacheL2_Replacement_clean     IM>IM     [0x2dc0, line 0x2dc0] 
            374   0    L2CacheL2_Replacement_clean     IM>IM     [0x2dc0, line 0x2dc0] 
            375   0    L2CacheL2_Replacement_clean     IM>IM     [0x2dc0, line 0x2dc0] 
            375   0    L2CacheL2_Replacement_clean     IM>IM     [0x2dc0, line 0x2dc0] 
            377 core  1        Seq                Done       >       [0x42a, line 0x400] 26 cycles
            377   1    L1Cache       Data_all_Acks     IM>M      [0x400, line 0x400] 
            378   0    L2Cache             Mem_Ack    M_I>NP     [0x29c0, line 0x29c0] 
            379   3    L1Cache                 Inv    M_I>SINK_WB_ACK [0x46c0, line 0x46c0] 
            379   0    L2Cache             L1_GETX     IM>IM     [0x2dc0, line 0x2dc0] 
            380   0  Directory               Fetch      I>IM     [0x7c0, line 0x7c0] 
            381   1    L1Cache              WB_Ack SINK_WB_ACK>I      [0x1bc0, line 0x1bc0] 
            381   1        Seq               Begin       >       [0x38e8, line 0x38c0] ST PC 184 0xb8
            382   1    L1Cache      L1_Replacement     IM>IM     [0x2dc0, line 0x2dc0] 
            384   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x400, line 0x400] 
            387   0    L2Cache             WB_Data  MCT_I>M_I    [0x46c0, line 0x46c0] 
            391   0  Directory         Memory_Data     IM>M      [0x2dc0, line 0x2dc0] 
            391   3        Seq               Begin       >       [0x56e8, line 0x56c0] ST PC 214 0xd6
            392   3    L1Cache      L1_Replacement     IM>IM     [0x40c0, line 0x40c0] 
            395   0  Directory                Data      M>MI     [0x46c0, line 0x46c0] 
            398   0    L2Cache            Mem_Data     IM>MT_MB  [0x2dc0, line 0x2dc0] 
            401   2        Seq               Begin       >       [0x65ec, line 0x65c0] ST PC 328 0x148
            402   2    L1Cache      L1_Replacement     IM>IM     [0xac0, line 0xac0] 
            405 core  1        Seq                Done       >       [0x2dec, line 0x2dc0] 324 cycles
            405   1    L1Cache       Data_all_Acks     IM>M      [0x2dc0, line 0x2dc0] 
            405   1    L1Cache      L1_Replacement     IM>IM     [0x7c0, line 0x7c0] 
            405   1    L1Cache      L1_Replacement     IM>IM     [0x7c0, line 0x7c0] 
            405   1    L1Cache      L1_Replacement     IM>IM     [0x7c0, line 0x7c0] 
            406   1    L1Cache      L1_Replacement     IM>IM     [0x7c0, line 0x7c0] 
            407   0  Directory          Memory_Ack     MI>I      [0x46c0, line 0x46c0] 
            411   0        Seq               Begin       >       [0x36ec, line 0x36c0] ST PC 281 0x119
            412   0    L1Cache      L1_Replacement     IM>IM     [0x19c0, line 0x19c0] 
            412   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x2dc0, line 0x2dc0] 
            412   0    L2CacheL2_Replacement_clean     MT>MCT_I  [0x2dc0, line 0x2dc0] 
            412   0    L2Cache             L1_GETX     NP>IM     [0xac0, line 0xac0] 
            412   0    L2CacheL2_Replacement_clean     IM>IM     [0x7c0, line 0x7c0] 
            413   0    L2CacheL2_Replacement_clean     IM>IM     [0x7c0, line 0x7c0] 
            413   0    L2CacheL2_Replacement_clean     IM>IM     [0x7c0, line 0x7c0] 
            413   0    L2CacheL2_Replacement_clean     IM>IM     [0x7c0, line 0x7c0] 
            413   0    L2CacheL2_Replacement_clean     IM>IM     [0x7c0, line 0x7c0] 
